City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Pangnirtung,CA,66.1451,-65.7125,3.2,66,90,2.3,light snow
326,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,55,90,10.36,overcast clouds
327,La Ronge,CA,55.1001,-105.2842,17.6,86,100,5.75,overcast clouds
328,Sabha,LY,27.0377,14.4283,46.2,53,0,3.33,clear sky
329,Embu,BR,-23.6489,-46.8522,69.8,83,90,2.3,overcast clouds
330,Waingapu,ID,-9.6567,120.2641,78.93,79,99,5.59,overcast clouds
331,San Lazaro,BZ,18.0387,-88.6622,80.6,74,90,5.75,overcast clouds
332,Superior,US,46.7208,-92.1041,37.0,87,90,5.75,overcast clouds
333,Broome,US,42.2506,-75.833,37.99,86,90,19.57,overcast clouds
334,Alexandria,EG,31.2156,29.9553,51.8,82,40,6.91,scattered clouds
335,Tromso,NO,69.6496,18.957,33.8,93,75,4.61,snow
336,Taldan,RU,53.6667,124.8,-22.67,86,100,0.76,overcast clouds
337,Svetlyy,RU,54.675,20.1347,19.4,73,75,8.95,light snow
338,Luderitz,NA,-26.6481,15.1594,65.35,77,0,12.88,clear sky
339,Dagana,MR,16.5165,-15.5068,77.0,33,0,2.3,clear sky
340,Senanga,ZM,-16.1167,23.2667,68.22,86,100,5.1,overcast clouds
341,Mehamn,NO,71.0357,27.8492,37.4,81,40,19.57,scattered clouds
342,Seoul,KR,37.5683,126.9778,24.8,79,20,5.75,few clouds
343,Kibaya,TZ,-5.3,36.5667,59.43,100,1,2.37,clear sky
344,Del Rio,US,29.3627,-100.8968,62.6,15,1,6.91,clear sky
345,Arlit,NE,18.7369,7.3853,74.93,18,29,8.66,scattered clouds
